80
100 100
1 14 25
2 2 8
3 19 22
4 26 5
5 32 12
6 20 4
7 22 23
8 11 19
9 6 23
10 3 8
11 10 28
12 11 9
13 3 30
14 28 4
15 1 33
16 23 19
17 31 17
18 11 23
19 27 10
20 19 32
21 5 15
22 16 3
23 26 14
24 19 9
25 25 33
26 18 33
27 17 6
28 18 30
29 29 19
30 34 4
31 30 29
32 25 7
33 2 5
34 28 30
35 5 32
36 24 7
37 9 33
38 5 24
39 30 12
40 10 3
41 24 18
42 21 18
43 31 11
44 28 15
45 31 27
46 1 20
47 17 13
48 26 3
49 26 31
50 25 13
51 6 15
52 1 10
53 17 16
54 5 30
55 29 25
56 29 20
57 23 12
58 8 8
59 26 27
60 26 31
61 6 27
62 7 35
63 14 17
64 23 14
65 8 11
66 21 4
67 25 2
68 28 23
69 13 29
70 12 28
71 33 3
72 24 21
73 18 20
74 22 20
75 20 15
76 9 15
77 31 4
78 1 12
79 19 12
80 24 24
