60
100 100
1 71 22
2 61 79
3 65 55
4 75 21
5 75 67
6 44 76
7 88 56
8 52 61
9 4 24
10 38 12
11 73 69
12 51 65
13 95 93
14 96 21
15 19 96
16 14 30
17 97 73
18 61 92
19 77 80
20 87 56
21 10 15
22 41 24
23 97 77
24 81 45
25 86 68
26 81 67
27 77 87
28 19 44
29 23 89
30 84 73
31 80 8
32 84 6
33 80 10
34 48 41
35 83 41
36 97 78
37 81 99
38 73 69
39 91 85
40 28 14
41 53 99
42 11 72
43 69 91
44 71 59
45 87 60
46 72 13
47 58 58
48 76 68
49 33 89
50 70 76
51 59 88
52 43 92
53 90 69
54 93 51
55 72 79
56 71 69
57 58 66
58 77 89
59 97 82
60 61 62
