60
100 100
1 78 82
2 25 26
3 40 88
4 94 96
5 79 86
6 65 95
7 96 92
8 90 71
9 92 50
10 68 75
11 64 63
12 99 57
13 76 29
14 88 19
15 45 98
16 69 56
17 51 67
18 58 72
19 36 42
20 51 66
21 99 68
22 97 89
23 40 48
24 45 92
25 57 80
26 96 66
27 54 65
28 50 72
29 29 68
30 57 55
31 81 96
32 67 67
33 60 90
34 80 56
35 69 87
36 46 82
37 54 87
38 64 69
39 69 90
40 86 93
41 60 96
42 60 94
43 80 54
44 88 73
45 85 17
46 68 80
47 68 32
48 2 76
49 57 99
50 88 77
51 89 69
52 77 68
53 98 93
54 69 87
55 85 69
56 64 83
57 50 99
58 62 57
59 94 81
60 63 60
