100
100 100
1 80 24
2 68 3
3 62 75
4 41 12
5 70 5
6 69 24
7 68 13
8 99 40
9 69 48
10 19 8
11 9 12
12 78 29
13 76 3
14 96 3
15 24 22
16 49 30
17 91 19
18 87 10
19 66 44
20 94 42
21 20 98
22 86 28
23 93 28
24 97 17
25 75 37
26 90 57
27 94 24
28 73 2
29 80 38
30 12 50
31 67 31
32 93 50
33 92 1
34 97 3
35 84 50
36 85 9
37 78 26
38 40 78
39 74 30
40 86 30
41 10 74
42 98 45
43 72 22
44 95 13
45 74 10
46 76 33
47 68 76
48 77 7
49 85 20
50 46 89
51 90 91
52 67 13
53 68 41
54 92 45
55 81 19
56 66 30
57 92 74
58 91 68
59 76 7
60 72 10
61 95 19
62 56 53
63 80 8
64 87 50
65 68 25
66 33 50
67 92 20
68 75 3
69 84 43
70 81 9
71 78 44
72 8 17
73 12 81
74 81 29
75 71 29
76 75 43
77 71 14
78 84 60
79 73 26
80 87 31
81 76 17
82 8 4
83 82 35
84 60 79
85 90 32
86 95 9
87 50 69
88 67 41
89 77 8
90 89 75
91 91 38
92 5 13
93 60 96
94 99 4
95 36 87
96 19 48
97 76 45
98 18 96
99 98 37
100 97 43
