60
100 100
1 2 23
2 32 7
3 12 10
4 37 66
5 83 25
6 21 49
7 42 18
8 88 50
9 11 38
10 71 52
11 33 91
12 39 72
13 8 14
14 34 19
15 36 78
16 7 31
17 16 50
18 8 46
19 50 11
20 37 14
21 37 99
22 44 35
23 26 15
24 28 9
25 19 9
26 41 35
27 14 31
28 32 15
29 12 31
30 50 48
31 14 9
32 98 33
33 18 15
34 80 22
35 25 48
36 23 13
37 35 10
38 3 7
39 48 100
40 61 53
41 13 17
42 47 4
43 32 12
44 60 57
45 53 85
46 3 13
47 28 36
48 23 22
49 55 65
50 21 34
51 36 22
52 46 49
53 19 7
54 50 16
55 6 79
56 31 37
57 45 11
58 40 72
59 37 29
60 28 37
