100
300 300
1 88 76
2 22 23
3 91 9
4 82 57
5 19 23
6 56 94
7 83 94
8 21 78
9 27 35
10 89 87
11 29 90
12 4 32
13 1 36
14 43 57
15 86 84
16 19 40
17 63 80
18 75 93
19 43 1
20 89 59
21 69 57
22 72 17
23 21 94
24 70 77
25 8 89
26 58 84
27 76 53
28 49 17
29 1 31
30 87 85
31 96 100
32 50 33
33 5 72
34 49 40
35 5 91
36 29 16
37 8 35
38 66 5
39 58 15
40 73 86
41 33 75
42 93 70
43 43 93
44 5 100
45 34 81
46 20 56
47 83 82
48 81 47
49 2 75
50 67 19
51 34 70
52 90 49
53 57 12
54 92 48
55 83 79
56 53 61
57 57 83
58 83 66
59 55 66
60 27 73
61 89 8
62 62 27
63 3 19
64 100 5
65 75 43
66 85 20
67 17 59
68 94 15
69 72 78
70 40 69
71 19 43
72 66 91
73 69 34
74 50 27
75 65 60
76 3 55
77 87 67
78 71 85
79 44 32
80 29 63
81 82 66
82 90 65
83 77 14
84 98 3
85 42 54
86 31 22
87 21 96
88 100 98
89 91 85
90 50 44
91 64 98
92 57 4
93 84 48
94 34 55
95 29 78
96 24 8
97 9 67
98 6 9
99 70 24
100 91 34
