60
300 300
1 63 47
2 100 57
3 49 51
4 64 17
5 36 79
6 87 92
7 71 44
8 78 58
9 31 89
10 84 27
11 26 93
12 81 42
13 2 65
14 80 83
15 37 51
16 27 59
17 40 29
18 98 16
19 57 9
20 5 31
21 66 37
22 93 15
23 77 89
24 39 13
25 35 77
26 54 3
27 18 45
28 83 95
29 37 72
30 3 34
31 36 68
32 26 97
33 94 78
34 95 97
35 20 79
36 90 77
37 61 82
38 21 16
39 93 33
40 32 23
41 27 8
42 1 44
43 9 20
44 39 57
45 15 12
46 91 72
47 57 62
48 35 35
49 80 81
50 81 22
51 61 14
52 74 45
53 11 38
54 92 48
55 74 65
56 46 10
57 30 39
58 80 41
59 87 38
60 73 86
