50		
500	5824
1	242	277
2	177	233
3	216	182
4	134	147
5	127	213
6	212	315
7	175	261
8	281	210
9	256	243
10	314	159
11	147	217
12	349	260
13	199	222
14	127	296
15	302	263
16	250	226
17	344	264
18	179	237
19	137	245
20	328	137
21	154	321
22	174	200
23	128	270
24	179	299
25	370	165
26	182	198
27	295	155
28	219	278
29	155	184
30	270	187
31	293	208
32	204	261
33	168	344
34	135	213
35	162	362
36	374	362
37	322	237
38	308	281
39	344	155
40	163	210
41	225	325
42	225	360
43	347	346
44	144	131
45	284	284
46	228	262
47	178	146
48	164	254
49	238	332
50	304	313
